,nm_category,nm_brand,nm_model,nm_version,ethanol_city_efficiency,ethanol_road_efficiency,gasoline_city_efficiency,gasoline_road_efficiency
146,Utilitã¡Rio Esportivo Compacto,Fiat,Argo,Trekking 1.3At,9.0,10.3,12.8,14.3
147,Utilitã¡Rio Esportivo Compacto,Fiat,Fastback,Audace Hyb,8.9,9.8,12.6,13.9
148,Utilitã¡Rio Esportivo Compacto,Fiat,Fastback,Impetus Hy,8.9,9.8,12.6,13.9
149,Utilitã¡Rio Esportivo Compacto,Fiat,Fastback,Abarth 270,7.3,9.1,10.8,12.9
150,Utilitã¡Rio Esportivo Compacto,Fiat,Fastback,Limited Ed,7.8,9.8,11.3,13.6
151,Utilitã¡Rio Esportivo Compacto,Fiat,Fastback,Turbo 200,8.5,10.1,12.1,14.3
152,Utilitã¡Rio Esportivo Compacto,Fiat,Pulse,Audace Hyb,9.3,10.2,13.4,14.4
153,Utilitã¡Rio Esportivo Compacto,Fiat,Pulse,Impetus Hyb,9.3,10.2,13.4,14.4
154,Utilitã¡Rio Esportivo Compacto,Fiat,Pulse,Drive At,8.9,10.5,13.0,14.7
155,Utilitã¡Rio Esportivo Compacto,Fiat,Pulse,Drive Tf 200,8.6,10.0,12.3,14.4
156,Utilitã¡Rio Esportivo Compacto,Fiat,Pulse,Abarth 270,7.2,8.8,10.5,12.2
157,Utilitã¡Rio Esportivo Compacto,Honda,Wr-V,Ex,8.2,8.9,12.0,12.8
158,Utilitã¡Rio Esportivo Compacto,Honda,Wr-V,Exl,8.2,8.9,12.0,12.8
159,Utilitã¡Rio Esportivo Compacto,Hyundai,Creta,Comfort,8.4,9.0,12.0,12.7
160,Utilitã¡Rio Esportivo Compacto,Hyundai,Creta,Limited,8.4,9.0,12.0,12.7
161,Utilitã¡Rio Esportivo Compacto,Hyundai,Creta,Platinum,8.4,9.0,12.0,12.7
162,Utilitã¡Rio Esportivo Compacto,Hyundai,Creta,N Line,8.4,9.0,12.0,12.7
163,Utilitã¡Rio Esportivo Compacto,Jeep,Renegade,Spt T270,7.8,8.9,11.1,12.4
164,Utilitã¡Rio Esportivo Compacto,Jeep,Renegade,Lgtd T270,7.8,8.9,11.1,12.4
165,Utilitã¡Rio Esportivo Compacto,Jeep,Renegade,1.3 Turbo,7.8,8.9,11.1,12.4
166,Utilitã¡Rio Esportivo Compacto,Jeep,Renegade,1.3 T Flex,7.8,8.9,11.1,12.4
