Categoria,Marca,Modelo,Vers�o,Combust��vel,Etanol - Cidade,Etanol  - Estrada,Gasolina ou Diesel - Cidade,Gasolina ou Diesel - Estrada,El�trico - Cidade,El�trico - Estrada
Extra Grande,BMW,I5,M60,E,,,,,35.7,33
Extra Grande,BMW,i5,M60 xDrive,E,,,,,32.6,33
Extra Grande,BMW,i7,xDrive60,E,,,,,31.8,30.3
Extra Grande,BYD,HAN,AWD GS 680EV,E,,,,,30.8,28.1
Extra Grande,BYD,SEAL,AWD GS 590EV,E,,,,,34.9,30.5
Extra Grande,BYD,TAN,AWD GS 700EV,E,,,,,30.2,25.3
Extra Grande,BYD,SONG PLUS,PREM DM,G,,,12.2,10.1,33.4,27.5
Extra Grande,BYD,SONG PLUS,GS DM,G,,,15,11.2,39.5,30.2
Extra Grande,BYD,SONG PRO,GS DM,G,,,14.8,12,38.4,30
Extra Grande,BYD,SONG PRO,GL DM,G,,,13.9,10.7,38.7,28.6
Extra Grande,BYD,KING,GL DM,G,,,17.1,13.6,43.5,33.1
Extra Grande,BYD,KING,GS DM,G,,,16.4,12.9,45.6,37.3
Extra Grande,CHEVROLET,EQUINOX EV,-,E,,,,,37.1,35.6
Extra Grande,CHEVROLET,BLAZER EV,RS,E,,,,,34.2,30.4
Extra Grande,CHEVROLET,EQUINOX,ACTIV,G,,,9,10.7,,
Extra Grande,CHEVROLET,EQUINOX,RS,G,,,9,10.7,,
Extra Grande,FORD,Territory,Titanium,G,,,8.8,11.2,,
Extra Grande,FORD,Mustang Mach-E,GT,E,,,,,31.1,27.5
Extra Grande,GAC,AION ES,PLUS,E,,,,,47.1,42.9
Extra Grande,GAC,HYPTEC HT,ELITE/ULTRA,E,,,,,38,31.8
Extra Grande,GAC,AION V,ELITE,E,,,,,40.3,34.6
Extra Grande,GAC,AION V,PREMIUM,E,,,,,38.8,34.7
Extra Grande,Geely,EX5,MAX,E,,,,,43,37.1
Extra Grande,Geely,EX5,PRO,E,,,,,51,44.7
Extra Grande,HONDA,ACCORD HYBRID,TOURING,G,,,17.5,15.6,,
Extra Grande,Hyundai,IONIQ 5,Platinum,E,,,,,33.6,28.1
Extra Grande,Hyundai,IONIQ 5,Ultimate,E,,,,,33.6,28.1
Extra Grande,Hyundai,IONIQ 5,Signature,E,,,,,33.6,28.1
Extra Grande,JAC,e-J7,e-J7,E,,,,,44,37.1
Extra Grande,KIA,EV5 2WD,AIR 2WD,E,,,,,37.6,30.5
Extra Grande,KIA,EV5 2WD,LAND 2WD,E,,,,,37.6,30.5
Extra Grande,KIA,EV5 4WD,WAVE 4WD,E,,,,,34.5,28
Extra Grande,LAMBORGHINI,URUS,S,G,,,5.4,6.9,,
Extra Grande,LAMBORGHINI,URUS,PERFORMANTE,G,,,5.4,6.9,,
Extra Grande,LEAPMOTOR,B10,LIFE,E,,,,,41.2,32.8
Extra Grande,LEAPMOTOR,C10,REEV,G,,,12,12,33.5,29.1
